start_time_datetime,(All),,,
,,,,
Row Labels,Sum of start_time_hour,Count of start_time_datetime,Sum of duration_second,Sum of totalWeightSum
1 AM,,,,
May,6,6,264,204987
:47,5,5,235,11040656
Strawberries,5,5,235,11040656
May,5,5,235,11040656
:48,6,6,288,238681
Strawberries,6,6,288,238681
May,6,6,288,238681
:51,4,4,204,10954584
Strawberries,4,4,204,10954584
May,4,4,204,10954584
:52,1,1,51,1320000
Strawberries,1,1,51,1320000
May,1,1,51,1320000
:53,4,4,208,196268
Strawberries,4,4,208,196268
May,4,4,208,196268
:57,4,4,228,12090464
Strawberries,4,4,228,12090464
May,4,4,228,12090464
:58,3,3,171,1038276
Strawberries,3,3,171,1038276
May,3,3,171,1038276
:59,2,2,118,119783
Strawberries,2,2,118,119783
May,2,2,118,119783
:32,,,,
:00,4,4,236,302028
Strawberries,4,4,236,302028
May,4,4,236,302028
:01,5,5,5,489096
Strawberries,5,5,5,489096
May,5,5,5,489096
:02,4,4,4,109737
Strawberries,4,4,4,109737
May,4,4,4,109737
:04,4,4,16,11064560
Strawberries,4,4,16,11064560
May,4,4,16,11064560
:05,3,3,14,923344
Strawberries,3,3,14,923344
May,3,3,14,923344
:06,2,2,10,68576
Strawberries,2,2,10,68576
May,2,2,10,68576
:08,6,6,48,14204944
Strawberries,6,6,48,14204944
May,6,6,48,14204944
:09,5,5,45,144021
Strawberries,5,5,45,144021
May,5,5,45,144021
:12,6,6,66,13111120
Strawberries,6,6,66,13111120
May,6,6,66,13111120
:13,3,3,36,62175
Strawberries,3,3,36,62175
May,3,3,36,62175
:15,4,4,60,9249384
Strawberries,4,4,60,9249384
May,4,4,60,9249384
:16,1,1,15,380376
Strawberries,1,1,15,380376
May,1,1,15,380376
:17,3,3,48,54860
Strawberries,3,3,48,54860
May,3,3,48,54860
:19,6,6,114,10961664
Strawberries,6,6,114,10961664
May,6,6,114,10961664
:20,3,3,60,16580
Strawberries,3,3,60,16580
May,3,3,60,16580
:25,7,7,168,10104910
Strawberries,7,7,168,10104910
May,7,7,168,10104910
:27,3,3,78,25704
Strawberries,3,3,78,25704
May,3,3,78,25704
:28,3,3,84,136784
Strawberries,3,3,84,136784
May,3,3,84,136784
:29,1,1,28,22944
Strawberries,1,1,28,22944
May,1,1,28,22944
:31,5,5,155,13118304
Strawberries,5,5,155,13118304
May,5,5,155,13118304
:32,3,3,96,25932
Strawberries,3,3,96,25932
May,3,3,96,25932
:35,5,5,170,13067768
Strawberries,5,5,170,13067768
May,5,5,170,13067768
:36,3,3,105,36908
Strawberries,3,3,105,36908
May,3,3,105,36908
:39,5,5,190,12077928
Strawberries,5,5,190,12077928
May,5,5,190,12077928
:40,3,3,117,26692
Strawberries,3,3,117,26692
May,3,3,117,26692
:43,5,5,210,10718584
Strawberries,5,5,210,10718584
May,5,5,210,10718584
:44,3,3,129,9348
Strawberries,3,3,129,9348
May,3,3,129,9348
:47,5,5,230,12424664
Strawberries,5,5,230,12424664
May,5,5,230,12424664
:48,2,2,94,23460
Strawberries,2,2,94,23460
May,2,2,94,23460
:52,7,7,357,9108696
Strawberries,7,7,357,9108696
May,7,7,357,9108696
:54,3,3,159,6048
Strawberries,3,3,159,6048
May,3,3,159,6048
:55,4,4,220,231312
Strawberries,4,4,220,231312
May,4,4,220,231312
:56,1,1,55,2400
Strawberries,1,1,55,2400
May,1,1,55,2400
:59,5,5,290,13732528
Strawberries,5,5,290,13732528
Jun,5,5,290,13732528
:33,,,,
:00,4,4,236,39672
Strawberries,4,4,236,39672
Jun,4,4,236,39672
:03,5,5,10,12904520
Strawberries,5,5,10,12904520
Jun,5,5,10,12904520
:04,2,2,6,5408
Strawberries,2,2,6,5408
Jun,2,2,6,5408
:06,3,3,18,11492128
Strawberries,3,3,18,11492128
Jun,3,3,18,11492128
:07,2,2,12,427736
Strawberries,2,2,12,427736
Jun,2,2,12,427736
:08,2,2,14,28528
Strawberries,2,2,14,28528
Jun,2,2,14,28528
:11,5,5,50,10610928
Strawberries,5,5,50,10610928
Jun,5,5,50,10610928
:12,2,2,22,23012
Strawberries,2,2,22,23012
Jun,2,2,22,23012
:14,4,4,56,11265928
Strawberries,4,4,56,11265928
Jun,4,4,56,11265928
:15,5,5,74,23160
Strawberries,5,5,74,23160
Jun,5,5,74,23160
:20,6,6,114,9422444
Strawberries,6,6,114,9422444
Jun,6,6,114,9422444
:22,4,4,84,20528
Strawberries,4,4,84,20528
Jun,4,4,84,20528
:24,7,7,164,193480
Strawberries,7,7,164,193480
Jun,7,7,164,193480
:27,5,5,135,11283768
Strawberries,5,5,135,11283768
Jun,5,5,135,11283768
:28,3,3,84,22368
Strawberries,3,3,84,22368
Jun,3,3,84,22368
:31,5,5,150,10920792
Strawberries,5,5,150,10920792
Jun,5,5,150,10920792
:32,4,4,124,12168
Strawberries,4,4,124,12168
Jun,4,4,124,12168
:35,5,5,170,10088888
Strawberries,5,5,170,10088888
Jun,5,5,170,10088888
:36,2,2,70,29976
Strawberries,2,2,70,29976
Jun,2,2,70,29976
:39,5,5,195,8984936
Strawberries,5,5,195,8984936
Jun,5,5,195,8984936
:40,2,2,80,4488
Strawberries,2,2,80,4488
Jun,2,2,80,4488
:43,5,5,215,9609008
Strawberries,5,5,215,9609008
Jun,5,5,215,9609008
:44,1,1,44,4800
Strawberries,1,1,44,4800
Jun,1,1,44,4800
:49,6,6,288,8554694
Strawberries,6,6,288,8554694
Jun,6,6,288,8554694
:51,1,1,50,4800
Strawberries,1,1,50,4800
Jun,1,1,50,4800
:52,4,4,208,272048
Strawberries,4,4,208,272048
Jun,4,4,208,272048
:53,1,1,53,1600
Strawberries,1,1,53,1600
Jun,1,1,53,1600
:56,5,5,275,11057328
Strawberries,5,5,275,11057328
Jun,5,5,275,11057328
:57,1,1,56,4000
Strawberries,1,1,56,4000
Jun,1,1,56,4000
:59,4,4,236,10918600
Strawberries,4,4,236,10918600
Jun,4,4,236,10918600
:34,,,,
:00,3,3,59,14016
Strawberries,3,3,59,14016
Jun,3,3,59,14016
:03,5,5,15,9613288
Strawberries,5,5,15,9613288
Jun,5,5,15,9613288
:07,4,4,28,8697928
Strawberries,4,4,28,8697928
Jun,4,4,28,8697928
:08,1,1,7,5216
Strawberries,1,1,7,5216
Jun,1,1,7,5216
:11,5,5,55,7779678
Strawberries,5,5,55,7779678
Jun,5,5,55,7779678
:17,5,5,85,7108342
Strawberries,5,5,85,7108342
Jun,5,5,85,7108342
:21,2,2,40,111120
Strawberries,2,2,40,111120
Jun,2,2,40,111120
:24,4,4,92,8967024
Strawberries,4,4,92,8967024
Jun,4,4,92,8967024
:27,4,4,108,9252840
Strawberries,4,4,108,9252840
Jun,4,4,108,9252840
:31,4,4,124,7953144
Strawberries,4,4,124,7953144
Jun,4,4,124,7953144
:35,4,4,140,7174920
Strawberries,4,4,140,7174920
Jun,4,4,140,7174920
:39,4,4,156,7531568
Strawberries,4,4,156,7531568
Jun,4,4,156,7531568
:45,6,6,265,6814162
Strawberries,6,6,265,6814162
Jun,6,6,265,6814162
:46,1,1,45,30723
Strawberries,1,1,45,30723
Jun,1,1,45,30723
:47,1,1,46,54285
Strawberries,1,1,46,54285
Jun,1,1,46,54285
:49,3,3,144,222616
Strawberries,3,3,144,222616
Jun,3,3,144,222616
:52,4,4,208,8983064
Strawberries,4,4,208,8983064
Jun,4,4,208,8983064
:56,4,4,224,9007192
Strawberries,4,4,224,9007192
Jun,4,4,224,9007192
:35,,,,
:00,4,4,0,8011448
Strawberries,4,4,0,8011448
Jul,,,,
1-Jul,4,4,0,8011448
:04,4,4,12,6746352
Strawberries,4,4,12,6746352
Jul,,,,
2-Jul,4,4,12,6746352
:08,4,4,28,6865912
Strawberries,4,4,28,6865912
Jul,,,,
3-Jul,4,4,28,6865912
:13,7,7,85,5830825
Strawberries,7,7,85,5830825
Jul,,,,
4-Jul,7,7,85,5830825
:17,3,3,48,135680
Strawberries,3,3,48,135680
Jul,,,,
5-Jul,3,3,48,135680
:19,4,4,76,8759256
Strawberries,4,4,76,8759256
Jul,,,,
6-Jul,4,4,76,8759256
:23,4,4,88,8977984
Strawberries,4,4,88,8977984
Jul,,,,
7-Jul,4,4,88,8977984
:26,4,4,100,8025312
Strawberries,4,4,100,8025312
Jul,,,,
8-Jul,4,4,100,8025312
:29,4,4,112,6869984
Strawberries,4,4,112,6869984
Jul,,,,
9-Jul,4,4,112,6869984
:32,4,4,124,7041352
Strawberries,4,4,124,7041352
Jul,,,,
10-Jul,4,4,124,7041352
:36,6,6,212,6234844
Strawberries,6,6,212,6234844
Jul,,,,
11-Jul,6,6,212,6234844
:39,3,3,117,96000
Strawberries,3,3,117,96000
Jul,,,,
12-Jul,3,3,117,96000
:42,5,5,205,9035224
Strawberries,5,5,205,9035224
Jul,,,,
13-Jul,5,5,205,9035224
:45,4,4,176,8993808
Strawberries,4,4,176,8993808
Jul,,,,
14-Jul,4,4,176,8993808
:48,5,5,235,7981872
Strawberries,5,5,235,7981872
Jul,,,,
15-Jul,5,5,235,7981872
1 PM,,,,
:30,,,,
:03,52,4,12,162368
Strawberries,52,4,12,162368
Jul,,,,
19-Jul,52,4,12,162368
Grand Total,1979,1931,56781,1448251505
