start_time_datetime,(All),,,
,,,,
Row Labels,Sum of start_time_hour,Count of start_time_datetime,Sum of duration_second,Sum of totalWeightSum
1 AM,,,,
Strawberries,5,5,5,1083559
Feb,5,5,5,1083559
:03,3,3,8,485576
Strawberries,3,3,8,485576
Feb,3,3,8,485576
:04,4,4,16,2535880
Strawberries,4,4,16,2535880
Feb,4,4,16,2535880
:05,4,4,16,1428
Strawberries,4,4,16,1428
Feb,4,4,16,1428
:07,8,8,53,4557898
Strawberries,8,8,53,4557898
Feb,8,8,53,4557898
:10,4,4,40,1377128
Strawberries,4,4,40,1377128
Feb,4,4,40,1377128
:11,2,2,20,3139552
Strawberries,2,2,20,3139552
Feb,2,2,20,3139552
:12,4,4,44,2385528
Strawberries,4,4,44,2385528
Feb,4,4,44,2385528
:15,7,7,100,4359000
Strawberries,7,7,100,4359000
Feb,7,7,100,4359000
:16,4,4,60,3159343
Strawberries,4,4,60,3159343
Feb,4,4,60,3159343
:19,5,5,95,797864
Strawberries,5,5,95,797864
Feb,5,5,95,797864
:20,3,3,57,3301816
Strawberries,3,3,57,3301816
Feb,3,3,57,3301816
:21,4,4,80,2232529
Strawberries,4,4,80,2232529
Feb,4,4,80,2232529
:24,6,6,142,5026416
Strawberries,6,6,142,5026416
Feb,6,6,142,5026416
:25,4,4,100,2213814
Strawberries,4,4,100,2213814
Feb,4,4,100,2213814
:29,6,6,170,4165384
Strawberries,6,6,170,4165384
Feb,6,6,170,4165384
:30,4,4,120,2458082
Strawberries,4,4,120,2458082
Feb,4,4,120,2458082
:37,6,6,216,1238278
Strawberries,6,6,216,1238278
Feb,6,6,216,1238278
:38,2,2,74,3283272
Strawberries,2,2,74,3283272
Feb,2,2,74,3283272
:39,3,3,114,1408
Strawberries,3,3,114,1408
Feb,3,3,114,1408
:40,6,6,236,2502106
Strawberries,6,6,236,2502106
Feb,6,6,236,2502106
:42,3,3,126,2489376
Strawberries,3,3,126,2489376
Feb,3,3,126,2489376
:43,3,3,126,1356605
Strawberries,3,3,126,1356605
Feb,3,3,126,1356605
:46,5,5,230,1387216
Strawberries,5,5,230,1387216
Feb,5,5,230,1387216
:47,2,2,92,3389048
Strawberries,2,2,92,3389048
Feb,2,2,92,3389048
:48,4,4,188,2922649
Strawberries,4,4,188,2922649
Feb,4,4,188,2922649
:51,7,7,352,5339584
Strawberries,7,7,352,5339584
Feb,7,7,352,5339584
:52,5,5,255,2982562
Strawberries,5,5,255,2982562
Feb,5,5,255,2982562
:55,2,2,110,176952
Strawberries,2,2,110,176952
Feb,2,2,110,176952
:56,4,4,220,4944592
Strawberries,4,4,220,4944592
Feb,4,4,220,4944592
:57,4,4,224,2520096
Strawberries,4,4,224,2520096
Feb,4,4,224,2520096
:25,,,,
:00,6,6,0,5694512
Strawberries,6,6,0,5694512
Feb,6,6,0,5694512
:01,5,5,5,2749323
Strawberries,5,5,5,2749323
Feb,5,5,5,2749323
:05,6,6,24,6235592
Strawberries,6,6,24,6235592
Feb,6,6,24,6235592
:06,5,5,25,2838124
Strawberries,5,5,25,2838124
Feb,5,5,25,2838124
:12,6,6,70,1038353
Strawberries,6,6,70,1038353
Feb,6,6,70,1038353
:13,3,3,39,4357120
Strawberries,3,3,39,4357120
Feb,3,3,39,4357120
:14,2,2,26,313
Strawberries,2,2,26,313
Feb,2,2,26,313
:15,6,6,86,2760398
Strawberries,6,6,86,2760398
Feb,6,6,86,2760398
:17,6,6,102,5285855
Strawberries,6,6,102,5285855
Feb,6,6,102,5285855
:20,3,3,60,313864
Strawberries,3,3,60,313864
Feb,3,3,60,313864
:21,4,4,80,5355304
Strawberries,4,4,80,5355304
Feb,4,4,80,5355304
:22,5,5,105,3542114
Strawberries,5,5,105,3542114
Feb,5,5,105,3542114
:25,8,8,196,5850832
Strawberries,8,8,196,5850832
Feb,8,8,196,5850832
:26,4,4,100,3317994
Strawberries,4,4,100,3317994
Feb,4,4,100,3317994
:29,4,4,116,886744
Strawberries,4,4,116,886744
Feb,4,4,116,886744
:30,2,2,58,3757184
Strawberries,2,2,58,3757184
Feb,2,2,58,3757184
:31,4,4,120,3237407
Strawberries,4,4,120,3237407
Feb,4,4,120,3237407
:34,6,6,200,4911608
Strawberries,6,6,200,4911608
Feb,6,6,200,4911608
:35,4,4,140,3077081
Strawberries,4,4,140,3077081
Feb,4,4,140,3077081
:38,4,4,152,1508672
Strawberries,4,4,152,1508672
Feb,4,4,152,1508672
:39,5,5,193,6618153
Strawberries,5,5,193,6618153
Feb,5,5,193,6618153
:40,1,1,39,71177
Strawberries,1,1,39,71177
Feb,1,1,39,71177
:46,8,8,360,1122324
Strawberries,8,8,360,1122324
Feb,8,8,360,1122324
:47,5,5,233,3484892
Strawberries,5,5,233,3484892
Feb,5,5,233,3484892
:48,4,4,192,2646809
Strawberries,4,4,192,2646809
Feb,4,4,192,2646809
:49,5,5,241,202338
Strawberries,5,5,241,202338
Feb,5,5,241,202338
:51,2,2,102,2441200
Strawberries,2,2,102,2441200
Feb,2,2,102,2441200
:52,4,4,204,1772063
Strawberries,4,4,204,1772063
Feb,4,4,204,1772063
:55,7,7,378,5422432
Strawberries,7,7,378,5422432
Feb,7,7,378,5422432
:56,4,4,220,3004342
Strawberries,4,4,220,3004342
Feb,4,4,220,3004342
:59,7,7,410,5823664
Strawberries,7,7,410,5823664
Feb,7,7,410,5823664
:26,,,,
:00,4,4,0,2772398
Strawberries,4,4,0,2772398
Feb,4,4,0,2772398
:03,5,5,15,1010312
Strawberries,5,5,15,1010312
Feb,5,5,15,1010312
:04,2,2,6,2829472
Strawberries,2,2,6,2829472
Feb,2,2,6,2829472
:05,4,4,16,2321104
Strawberries,4,4,16,2321104
Feb,4,4,16,2321104
:08,8,8,60,4639648
Strawberries,8,8,60,4639648
Feb,8,8,60,4639648
:09,4,4,36,2531288
Strawberries,4,4,36,2531288
Feb,4,4,36,2531288
:12,4,4,48,281576
Strawberries,4,4,48,281576
Feb,4,4,48,281576
:13,4,4,48,4752064
Strawberries,4,4,48,4752064
Feb,4,4,48,4752064
:14,4,4,52,2356882
Strawberries,4,4,52,2356882
Feb,4,4,52,2356882
:19,2,2,38,224184
Strawberries,2,2,38,224184
Feb,2,2,38,224184
:20,6,6,114,1570317
Strawberries,6,6,114,1570317
Feb,6,6,114,1570317
:21,4,4,82,2867948
Strawberries,4,4,82,2867948
Feb,4,4,82,2867948
:22,4,4,88,2309184
Strawberries,4,4,88,2309184
Feb,4,4,88,2309184
:23,3,3,66,2396
Strawberries,3,3,66,2396
Feb,3,3,66,2396
:25,7,7,172,3098826
Strawberries,7,7,172,3098826
Mar,7,7,172,3098826
:28,4,4,112,332920
Strawberries,4,4,112,332920
Mar,4,4,112,332920
:29,4,4,112,4581712
Strawberries,4,4,112,4581712
Mar,4,4,112,4581712
:30,4,4,116,2434272
Strawberries,4,4,116,2434272
Mar,4,4,116,2434272
:33,9,9,293,5360968
Strawberries,9,9,293,5360968
Mar,9,9,293,5360968
:34,4,4,132,2299401
Strawberries,4,4,132,2299401
Mar,4,4,132,2299401
:37,6,6,222,1057320
Strawberries,6,6,222,1057320
Mar,6,6,222,1057320
:38,2,2,74,3440872
Strawberries,2,2,74,3440872
Mar,2,2,74,3440872
:39,4,4,152,1975017
Strawberries,4,4,152,1975017
Mar,4,4,152,1975017
:42,8,8,336,5384472
Strawberries,8,8,336,5384472
Mar,8,8,336,5384472
:43,4,4,172,1720803
Strawberries,4,4,172,1720803
Mar,4,4,172,1720803
:46,4,4,184,235048
Strawberries,4,4,184,235048
Mar,4,4,184,235048
:47,4,4,184,5620920
Strawberries,4,4,184,5620920
Mar,4,4,184,5620920
:48,4,4,188,1916935
Strawberries,4,4,188,1916935
Mar,4,4,188,1916935
:54,8,8,429,2007391
Strawberries,8,8,429,2007391
Mar,8,8,429,2007391
:55,2,2,110,2985440
Strawberries,2,2,110,2985440
Mar,2,2,110,2985440
:56,5,5,275,1852
Strawberries,5,5,275,1852
Mar,5,5,275,1852
:57,6,6,338,2240412
Strawberries,6,6,338,2240412
Mar,6,6,338,2240412
:59,5,5,295,2853608
Strawberries,5,5,295,2853608
Mar,5,5,295,2853608
:27,,,,
:00,4,4,236,1371343
Strawberries,4,4,236,1371343
Mar,4,4,236,1371343
:03,8,8,18,6855456
Strawberries,8,8,18,6855456
Mar,8,8,18,6855456
