,commodity,crawl_date,totalWeightSum
120,Strawberries,2020-07-20 01:34:07.522,5216
121,Strawberries,2020-07-20 01:34:07.410,314432
122,Strawberries,2020-07-20 01:34:07.406,2268720
123,Strawberries,2020-07-20 01:34:07.412,766984
124,Strawberries,2020-07-20 01:34:07.408,5347792
125,Strawberries,2020-07-20 01:34:03.357,5352
126,Strawberries,2020-07-20 01:34:03.246,264280
127,Strawberries,2020-07-20 01:34:03.243,2484368
128,Strawberries,2020-07-20 01:34:03.244,881648
129,Strawberries,2020-07-20 01:34:03.241,5977640
130,Strawberries,2020-07-20 01:34:00.464,1600
131,Strawberries,2020-07-20 01:34:00.462,6000
132,Strawberries,2020-07-20 01:33:59.607,6416
133,Strawberries,2020-07-20 01:33:59.487,382400
134,Strawberries,2020-07-20 01:33:59.482,2744560
135,Strawberries,2020-07-20 01:33:59.485,1086072
136,Strawberries,2020-07-20 01:33:59.483,6705568
137,Strawberries,2020-07-20 01:33:56.728,4000
138,Strawberries,2020-07-20 01:33:55.785,6512
139,Strawberries,2020-07-20 01:33:55.669,441480
140,Strawberries,2020-07-20 01:33:55.668,2762968
141,Strawberries,2020-07-20 01:33:55.671,1057328
142,Strawberries,2020-07-20 01:33:55.666,6789040
143,Strawberries,2020-07-20 01:33:53.041,1600
144,Strawberries,2020-07-20 01:33:52.484,2616
145,Strawberries,2020-07-20 01:33:52.472,17280
146,Strawberries,2020-07-20 01:33:52.470,201832
147,Strawberries,2020-07-20 01:33:52.468,50320
148,Strawberries,2020-07-20 01:33:50.692,4800
149,Strawberries,2020-07-20 01:33:48.776,46518
150,Strawberries,2020-07-20 01:33:48.691,8528
151,Strawberries,2020-07-20 01:33:48.609,230248
152,Strawberries,2020-07-20 01:33:48.607,2248288
153,Strawberries,2020-07-20 01:33:48.611,744248
154,Strawberries,2020-07-20 01:33:48.606,5276864
155,Strawberries,2020-07-20 01:33:44.162,4800
156,Strawberries,2020-07-20 01:33:43.237,6528
157,Strawberries,2020-07-20 01:33:43.126,316856
158,Strawberries,2020-07-20 01:33:43.123,2491032
159,Strawberries,2020-07-20 01:33:43.128,798184
160,Strawberries,2020-07-20 01:33:43.125,5996408
161,Strawberries,2020-07-20 01:33:40.272,2760
162,Strawberries,2020-07-20 01:33:40.270,1728
163,Strawberries,2020-07-20 01:33:39.125,6776
164,Strawberries,2020-07-20 01:33:39.021,341632
165,Strawberries,2020-07-20 01:33:39.017,2538504
166,Strawberries,2020-07-20 01:33:39.019,724968
167,Strawberries,2020-07-20 01:33:39.016,5373056
168,Strawberries,2020-07-20 01:33:35.942,5232
169,Strawberries,2020-07-20 01:33:35.940,24744
170,Strawberries,2020-07-20 01:33:34.837,1288
171,Strawberries,2020-07-20 01:33:34.734,307152
172,Strawberries,2020-07-20 01:33:34.729,2945432
173,Strawberries,2020-07-20 01:33:34.733,880848
174,Strawberries,2020-07-20 01:33:34.731,5954168
175,Strawberries,2020-07-20 01:33:31.820,400
176,Strawberries,2020-07-20 01:33:31.822,4400
177,Strawberries,2020-07-20 01:33:31.817,5760
178,Strawberries,2020-07-20 01:33:31.819,1608
179,Strawberries,2020-07-20 01:33:30.973,11304
180,Strawberries,2020-07-20 01:33:30.871,392664
181,Strawberries,2020-07-20 01:33:30.868,3186760
182,Strawberries,2020-07-20 01:33:30.870,907400
183,Strawberries,2020-07-20 01:33:30.866,6422664
184,Strawberries,2020-07-20 01:33:28.186,1968
185,Strawberries,2020-07-20 01:33:28.188,4800
186,Strawberries,2020-07-20 01:33:28.184,15600
187,Strawberries,2020-07-20 01:33:27.233,12392
188,Strawberries,2020-07-20 01:33:27.148,445240
189,Strawberries,2020-07-20 01:33:27.143,3382200
190,Strawberries,2020-07-20 01:33:27.147,851192
191,Strawberries,2020-07-20 01:33:27.145,6592744
192,Strawberries,2020-07-20 01:33:24.305,5760
193,Strawberries,2020-07-20 01:33:24.303,1600
194,Strawberries,2020-07-20 01:33:24.302,9600
195,Strawberries,2020-07-20 01:33:23.703,5472
196,Strawberries,2020-07-20 01:33:23.693,1768
197,Strawberries,2020-07-20 01:33:23.689,162128
198,Strawberries,2020-07-20 01:33:23.691,7152
199,Strawberries,2020-07-20 01:33:21.804,4800
200,Strawberries,2020-07-20 01:33:21.805,608
201,Strawberries,2020-07-20 01:33:21.800,5520
202,Strawberries,2020-07-20 01:33:21.802,9600
203,Strawberries,2020-07-20 01:33:19.862,59716
204,Strawberries,2020-07-20 01:33:19.773,11728
205,Strawberries,2020-07-20 01:33:19.692,337952
206,Strawberries,2020-07-20 01:33:19.690,3204088
207,Strawberries,2020-07-20 01:33:19.693,665328
208,Strawberries,2020-07-20 01:33:19.688,5143632
209,Strawberries,2020-07-20 01:33:15.399,2248
210,Strawberries,2020-07-20 01:33:15.401,1600
211,Strawberries,2020-07-20 01:33:15.396,2400
212,Strawberries,2020-07-20 01:33:15.398,1056
213,Strawberries,2020-07-20 01:33:14.574,15856
214,Strawberries,2020-07-20 01:33:14.469,372672
215,Strawberries,2020-07-20 01:33:14.468,3810128
216,Strawberries,2020-07-20 01:33:14.471,837368
217,Strawberries,2020-07-20 01:33:14.466,6245760
218,Strawberries,2020-07-20 01:33:11.855,7688
219,Strawberries,2020-07-20 01:33:11.853,15324
220,Strawberries,2020-07-20 01:33:10.754,10896
221,Strawberries,2020-07-20 01:33:10.658,472280
222,Strawberries,2020-07-20 01:33:10.655,3480440
223,Strawberries,2020-07-20 01:33:10.659,759312
224,Strawberries,2020-07-20 01:33:10.656,5888000
225,Strawberries,2020-07-20 01:33:07.712,9016
226,Strawberries,2020-07-20 01:33:07.710,19512
227,Strawberries,2020-07-20 01:33:06.595,11744
228,Strawberries,2020-07-20 01:33:06.502,415992
229,Strawberries,2020-07-20 01:33:06.498,4078016
230,Strawberries,2020-07-20 01:33:06.500,910880
231,Strawberries,2020-07-20 01:33:06.496,6503232
232,Strawberries,2020-07-20 01:33:03.751,3104
233,Strawberries,2020-07-20 01:33:03.749,2304
234,Strawberries,2020-07-20 01:33:02.811,9032
235,Strawberries,2020-07-20 01:33:02.710,402472
236,Strawberries,2020-07-20 01:33:02.706,4602040
237,Strawberries,2020-07-20 01:33:02.708,978696
238,Strawberries,2020-07-20 01:33:02.705,6912280
239,Strawberries,2020-07-20 01:32:59.903,5760
240,Strawberries,2020-07-20 01:32:59.902,6760
241,Strawberries,2020-07-20 01:32:59.900,8
242,Strawberries,2020-07-20 01:32:59.898,27144
243,Strawberries,2020-07-20 01:32:58.821,8904
244,Strawberries,2020-07-20 01:32:58.719,622208
245,Strawberries,2020-07-20 01:32:58.713,4961464
246,Strawberries,2020-07-20 01:32:58.717,891648
247,Strawberries,2020-07-20 01:32:58.715,7248304
248,Strawberries,2020-07-20 01:32:55.830,2400
249,Strawberries,2020-07-20 01:32:55.294,3976
250,Strawberries,2020-07-20 01:32:55.283,12960
251,Strawberries,2020-07-20 01:32:55.280,196928
252,Strawberries,2020-07-20 01:32:55.282,17448
253,Strawberries,2020-07-20 01:32:53.558,4968
254,Strawberries,2020-07-20 01:32:53.556,120
255,Strawberries,2020-07-20 01:32:53.554,960
256,Strawberries,2020-07-20 01:32:51.846,54998
257,Strawberries,2020-07-20 01:32:51.829,35130
258,Strawberries,2020-07-20 01:32:51.740,9128
259,Strawberries,2020-07-20 01:32:51.683,374688
260,Strawberries,2020-07-20 01:32:51.678,3781920
261,Strawberries,2020-07-20 01:32:51.681,792800
262,Strawberries,2020-07-20 01:32:51.680,4060032
263,Strawberries,2020-07-20 01:32:47.591,11640
264,Strawberries,2020-07-20 01:32:47.589,11820
265,Strawberries,2020-07-20 01:32:46.611,14840
266,Strawberries,2020-07-20 01:32:46.517,486400
267,Strawberries,2020-07-20 01:32:46.512,4458432
268,Strawberries,2020-07-20 01:32:46.516,1160296
269,Strawberries,2020-07-20 01:32:46.514,6304696
270,Strawberries,2020-07-20 01:32:43.587,3512
271,Strawberries,2020-07-20 01:32:43.585,16
272,Strawberries,2020-07-20 01:32:43.583,5820
273,Strawberries,2020-07-20 01:32:42.648,37776
274,Strawberries,2020-07-20 01:32:42.547,490912
275,Strawberries,2020-07-20 01:32:42.545,4189016
276,Strawberries,2020-07-20 01:32:42.548,649832
277,Strawberries,2020-07-20 01:32:42.543,5351048
278,Strawberries,2020-07-20 01:32:39.620,4000
279,Strawberries,2020-07-20 01:32:39.618,4872
280,Strawberries,2020-07-20 01:32:39.616,17820
281,Strawberries,2020-07-20 01:32:38.655,54600
282,Strawberries,2020-07-20 01:32:38.553,502440
283,Strawberries,2020-07-20 01:32:38.549,5007128
284,Strawberries,2020-07-20 01:32:38.551,906840
285,Strawberries,2020-07-20 01:32:38.548,5606920
286,Strawberries,2020-07-20 01:32:35.688,20320
287,Strawberries,2020-07-20 01:32:35.686,16
288,Strawberries,2020-07-20 01:32:35.685,16572
289,Strawberries,2020-07-20 01:32:34.828,59432
290,Strawberries,2020-07-20 01:32:34.730,467432
291,Strawberries,2020-07-20 01:32:34.725,5355760
292,Strawberries,2020-07-20 01:32:34.729,857544
293,Strawberries,2020-07-20 01:32:34.727,6327600
294,Strawberries,2020-07-20 01:32:32.063,17744
295,Strawberries,2020-07-20 01:32:32.061,16
296,Strawberries,2020-07-20 01:32:32.059,8172
297,Strawberries,2020-07-20 01:32:31.206,14560
298,Strawberries,2020-07-20 01:32:31.135,617064
299,Strawberries,2020-07-20 01:32:31.131,5503816
300,Strawberries,2020-07-20 01:32:31.136,988760
301,Strawberries,2020-07-20 01:32:31.133,5994104
302,Strawberries,2020-07-20 01:32:28.699,22944
303,Strawberries,2020-07-20 01:32:28.319,5696
304,Strawberries,2020-07-20 01:32:28.307,2592
305,Strawberries,2020-07-20 01:32:28.306,128496
306,Strawberries,2020-07-20 01:32:26.792,18776
307,Strawberries,2020-07-20 01:32:26.790,112
308,Strawberries,2020-07-20 01:32:26.788,6816
309,Strawberries,2020-07-20 01:32:24.746,46761
310,Strawberries,2020-07-20 01:32:24.721,40973
311,Strawberries,2020-07-20 01:32:24.631,223408
312,Strawberries,2020-07-20 01:32:24.545,446488
313,Strawberries,2020-07-20 01:32:24.541,4558016
314,Strawberries,2020-07-20 01:32:24.543,740608
315,Strawberries,2020-07-20 01:32:24.540,4048656
316,Strawberries,2020-07-20 01:32:20.119,15592
317,Strawberries,2020-07-20 01:32:20.117,88
318,Strawberries,2020-07-20 01:32:20.115,900
319,Strawberries,2020-07-20 01:32:19.218,3848
320,Strawberries,2020-07-20 01:32:19.217,312264
321,Strawberries,2020-07-20 01:32:19.130,444152
322,Strawberries,2020-07-20 01:32:19.127,4776952
323,Strawberries,2020-07-20 01:32:19.128,779856
324,Strawberries,2020-07-20 01:32:19.125,4644592
325,Strawberries,2020-07-20 01:32:16.563,29216
326,Strawberries,2020-07-20 01:32:16.561,4800
327,Strawberries,2020-07-20 01:32:16.560,20844
328,Strawberries,2020-07-20 01:32:15.544,380376
329,Strawberries,2020-07-20 01:32:15.453,508456
330,Strawberries,2020-07-20 01:32:15.452,4584408
331,Strawberries,2020-07-20 01:32:15.455,450784
332,Strawberries,2020-07-20 01:32:15.450,3705736
333,Strawberries,2020-07-20 01:32:12.750,42912
334,Strawberries,2020-07-20 01:32:12.748,64
335,Strawberries,2020-07-20 01:32:12.678,19199
336,Strawberries,2020-07-20 01:32:11.823,816
337,Strawberries,2020-07-20 01:32:11.822,821200
338,Strawberries,2020-07-20 01:32:11.736,572584
339,Strawberries,2020-07-20 01:32:11.730,5571464
340,Strawberries,2020-07-20 01:32:11.734,823680
341,Strawberries,2020-07-20 01:32:11.732,5321376
342,Strawberries,2020-07-20 01:32:09.202,84248
343,Strawberries,2020-07-20 01:32:09.201,1728
344,Strawberries,2020-07-20 01:32:09.199,26748
345,Strawberries,2020-07-20 01:32:09.128,10432
346,Strawberries,2020-07-20 01:32:09.126,20865
347,Strawberries,2020-07-20 01:32:08.278,3304
348,Strawberries,2020-07-20 01:32:08.276,1194600
349,Strawberries,2020-07-20 01:32:08.180,577560
350,Strawberries,2020-07-20 01:32:08.179,6644256
351,Strawberries,2020-07-20 01:32:08.182,827376
352,Strawberries,2020-07-20 01:32:08.177,4957848
353,Strawberries,2020-07-20 01:32:05.552,60776
354,Strawberries,2020-07-20 01:32:05.550,7800
355,Strawberries,2020-07-20 01:32:05.471,75728
356,Strawberries,2020-07-20 01:32:05.469,22400
357,Strawberries,2020-07-20 01:32:04.573,825216
358,Strawberries,2020-07-20 01:32:04.495,681352
359,Strawberries,2020-07-20 01:32:04.491,6144032
360,Strawberries,2020-07-20 01:32:04.496,707088
361,Strawberries,2020-07-20 01:32:04.493,3532088
362,Strawberries,2020-07-20 01:32:01.819,1920
363,Strawberries,2020-07-20 01:32:01.818,75912
364,Strawberries,2020-07-20 01:32:01.816,9216
365,Strawberries,2020-07-20 01:32:01.790,22689
366,Strawberries,2020-07-20 01:32:01.370,20840
367,Strawberries,2020-07-20 01:32:01.358,6664
368,Strawberries,2020-07-20 01:32:01.353,322624
369,Strawberries,2020-07-20 01:32:01.356,24568
370,Strawberries,2020-07-20 01:32:01.354,114400
371,Strawberries,2020-07-20 01:31:59.999,205040
372,Strawberries,2020-07-20 01:31:59.792,77240
373,Strawberries,2020-07-20 01:31:59.791,2624
374,Strawberries,2020-07-20 01:31:59.789,17124
375,Strawberries,2020-07-20 01:31:59.459,97671
376,Strawberries,2020-07-20 01:31:59.457,22112
377,Strawberries,2020-07-20 01:31:57.625,51692
378,Strawberries,2020-07-20 01:31:57.530,3936
379,Strawberries,2020-07-20 01:31:57.528,982648
380,Strawberries,2020-07-20 01:31:57.429,549240
381,Strawberries,2020-07-20 01:31:57.427,5377336
382,Strawberries,2020-07-20 01:31:57.431,919752
383,Strawberries,2020-07-20 01:31:57.425,5244136
384,Strawberries,2020-07-20 01:31:52.665,71568
385,Strawberries,2020-07-20 01:31:52.663,3780
386,Strawberries,2020-07-20 01:31:52.594,98520
387,Strawberries,2020-07-20 01:31:52.592,22400
388,Strawberries,2020-07-20 01:31:51.523,1320000
389,Strawberries,2020-07-20 01:31:51.432,434800
390,Strawberries,2020-07-20 01:31:51.428,4980776
391,Strawberries,2020-07-20 01:31:51.433,1050624
392,Strawberries,2020-07-20 01:31:51.430,4488384
393,Strawberries,2020-07-20 01:31:48.470,26456
394,Strawberries,2020-07-20 01:31:48.472,84896
395,Strawberries,2020-07-20 01:31:48.468,5776
396,Strawberries,2020-07-20 01:31:48.467,3912
397,Strawberries,2020-07-20 01:31:48.397,93641
398,Strawberries,2020-07-20 01:31:48.396,24000
399,Strawberries,2020-07-20 01:31:47.430,1557880
400,Strawberries,2020-07-20 01:31:47.343,503760
401,Strawberries,2020-07-20 01:31:47.338,5114544
402,Strawberries,2020-07-20 01:31:47.341,496568
403,Strawberries,2020-07-20 01:31:47.339,3367904
404,Strawberries,2020-07-20 01:31:44.494,51640
405,Strawberries,2020-07-20 01:31:44.496,22464
406,Strawberries,2020-07-20 01:31:44.492,10608
407,Strawberries,2020-07-20 01:31:44.490,11604
408,Strawberries,2020-07-20 01:31:44.407,85175
409,Strawberries,2020-07-20 01:31:44.405,23496
410,Strawberries,2020-07-20 01:31:43.448,1393248
411,Strawberries,2020-07-20 01:31:43.361,564312
412,Strawberries,2020-07-20 01:31:43.358,5295728
413,Strawberries,2020-07-20 01:31:43.363,557480
414,Strawberries,2020-07-20 01:31:43.360,3608168
415,Strawberries,2020-07-20 01:31:40.591,70568
416,Strawberries,2020-07-20 01:31:40.589,6080
417,Strawberries,2020-07-20 01:31:40.588,3096
418,Strawberries,2020-07-20 01:31:40.498,98824
419,Strawberries,2020-07-20 01:31:40.497,27999
420,Strawberries,2020-07-20 01:31:39.582,3648
421,Strawberries,2020-07-20 01:31:39.581,1800888
