,_id,originName,packageCntSum,totalWeightSum,districtName,season,transmode,impExpFlag,commodity,organic,reportDate,checksum_sha256,crawl_date,pdwDate
16,5f0fcf188b390b44eccab523,CANADA,100741.89742152467,1220,IMPORTS THROUGH DERBY LINE (VERMONT),2020,Truck,I,Strawberries,False,2020-07-11 00:00:00.000,273d8444f448d5c8139d7e1f6ff802376f033633581db45a0dc2afd2f2e7c209,2020-07-15 20:52:56.260,2020-07-11 00:00:00.000
17,5f0fcf188b390b44eccab4cb,CALIFORNIA-CENTRAL,29987.0,239896,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-11 00:00:00.000,8193895fe75e3323c41d0be517ea79066be884826dc4a3542abddc1013c4402f,2020-07-15 20:52:56.105,2020-03-29 15:15:12.000
18,5f0fcf188b390b44eccab4c8,CALIFORNIA-CENTRAL,218959.0,1751672,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-11 00:00:00.000,d7a413d0bd11b9aa11b99d04e682fb1f41bf0960c8f9de9cade722cb0fa95cb5,2020-07-15 20:52:56.100,2020-03-29 15:15:12.000
19,5f0fcf188b390b44eccab4ca,CALIFORNIA-CENTRAL,71320.0,570560,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-11 00:00:00.000,e05654bc82ed85867ae6dbb8dd5d46018a88aa041f16b1e59acea5bb144b0fb8,2020-07-15 20:52:56.103,2020-03-29 15:15:12.000
20,5f0fcf188b390b44eccab4c9,CALIFORNIA-CENTRAL,456301.0,3650408,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-11 00:00:00.000,860417897f1e20f5cfba5ef8ed872946705a8ba489d7735fe65257e9fb413d93,2020-07-15 20:52:56.101,2020-03-29 15:15:12.000
21,5f0fcf148b390b44eccab209,CALIFORNIA-CENTRAL,36990.0,295920,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-10 00:00:00.000,e433d79a7a3e6ec091b9b21d044878ad3490419ab94e09497026f607787925f7,2020-07-15 20:52:52.410,2020-03-29 15:15:12.000
22,5f0fcf148b390b44eccab206,CALIFORNIA-CENTRAL,228455.0,1827640,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-10 00:00:00.000,b239eadf2e490fac6b882ab91e2e5ff4f196d1b047e4ce958b1b7c224c786066,2020-07-15 20:52:52.404,2020-03-29 15:15:12.000
23,5f0fcf148b390b44eccab208,CALIFORNIA-CENTRAL,80270.0,642160,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-10 00:00:00.000,e7a52d0ec19a8fb8fe8b18d8aadaa37469e2574ddd6fd8379e66309ee60e120a,2020-07-15 20:52:52.408,2020-03-29 15:15:12.000
24,5f0fcf148b390b44eccab207,CALIFORNIA-CENTRAL,534454.0,4275632,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-10 00:00:00.000,bbb3ac937b34c0dc411aaa7063b2568c699c9ed6b891868bb58c3fc496b06ac2,2020-07-15 20:52:52.406,2020-03-29 15:15:12.000
25,5f0fcf118b390b44eccaaf1a,CALIFORNIA-CENTRAL,34419.0,275352,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-09 00:00:00.000,f296b258b2648022ca79de7bb355d83b02251c347b82cbc0718b9dd961b66d7e,2020-07-15 20:52:49.324,2020-03-29 15:15:12.000
26,5f0fcf118b390b44eccaaf19,CALIFORNIA-CENTRAL,213403.0,1707224,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-09 00:00:00.000,bdfdfdce2b73b95b0065cf4ed7655a88d75259543f705a9a5e13690c9aaf1749,2020-07-15 20:52:49.323,2020-03-29 15:15:12.000
27,5f0fcf118b390b44eccaaf1b,CALIFORNIA-CENTRAL,84934.0,679472,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,True,2020-07-09 00:00:00.000,b12cd4db7d09374bce575be728d9aefda4f1e9349b129a9d81e1fa320eb7735e,2020-07-15 20:52:49.326,2020-03-29 15:15:12.000
28,5f0fcf118b390b44eccaaf18,CALIFORNIA-CENTRAL,525992.0,4207936,SALINAS-WATSONVILLE,2020,Truck,D,Strawberries,False,2020-07-09 00:00:00.000,72e5b273eacee4cd128dfc597ea8887264e8ae5b7331665fbcd9a12440fcde9d,2020-07-15 20:52:49.320,2020-03-29 15:15:12.000
29,5f0fcf0e8b390b44eccaabfb,CALIFORNIA-CENTRAL,27725.0,221800,SANTA MARIA,2020,Truck,D,Strawberries,True,2020-07-08 00:00:00.000,40af59aa25e037a7b663e116c2704526aeb4b1fc26372b1505e1bc320f7ec571,2020-07-15 20:52:46.096,2020-03-29 15:15:12.000
30,5f0fcf0e8b390b44eccaabfa,CALIFORNIA-CENTRAL,246202.0,1969616,SANTA MARIA,2020,Truck,D,Strawberries,False,2020-07-08 00:00:00.000,fea95278142d98008748368284d9c980082b21c0dc1d0c5b7ee8678bafbc3197,2020-07-15 20:52:46.094,2020-03-29 15:15:12.000
